taxonomy_old	taxonomy_new	taxonomy_id_new
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__GGB13253|s__GGB13253_SGB20482|t__SGB20482	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB13253|s__GGB13253_SGB20482|t__SGB20482	2|1239|186801|186802|186803|||
k__Bacteria|p__Tenericutes|c__CFGB73380|o__OFGB73380|f__FGB73380|g__GGB13644|s__GGB13644_SGB20996|t__SGB20996	k__Bacteria|p__Firmicutes|c__CFGB73380|o__OFGB73380|f__FGB73380|g__GGB13644|s__GGB13644_SGB20996|t__SGB20996	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB76317|o__OFGB76317|f__FGB76317|g__GGB3095|s__GGB3095_SGB4103|t__SGB4103	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3095|s__GGB3095_SGB4103|t__SGB4103	2|1239|186801|186802|186803|||
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum|s__Actinotignum_SGB5108|t__SGB5108	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB5108|t__SGB5108	2|1239|186801|186802|31979|1485||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3510|s__GGB3510_SGB4687|t__SGB4687	k__Bacteria|p__Firmicutes|c__CFGB9781|o__OFGB9781|f__FGB9781|g__GGB3510|s__GGB3510_SGB4687|t__SGB4687	2|1239||||||
k__Bacteria|p__Bacteroidetes|c__CFGB76111|o__OFGB76111|f__FGB76111|g__GGB24101|s__GGB24101_SGB40209|t__SGB40209	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_unclassified|s__Rikenellaceae_unclassified_SGB40209|t__SGB40209	2|976|200643|171549|171550|||
k__Bacteria|p__Bacteroidetes|c__CFGB76233|o__OFGB76233|f__FGB76233|g__GGB71517|s__GGB71517_SGB98136|t__SGB98136	k__Bacteria|p__Bacteroidetes|c__CFGB74945|o__OFGB74945|f__FGB74945|g__GGB71517|s__GGB71517_SGB98136|t__SGB98136	2|976||||||
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9062|s__GGB9062_SGB13981|t__SGB13981	k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834|g__GGB9062|s__GGB9062_SGB13981|t__SGB13981	2|1239||||||
k__Bacteria|p__Firmicutes|c__CFGB76790|o__OFGB76790|f__FGB76790|g__GGB45624|s__GGB45624_SGB63337|t__SGB63337	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB45624|s__GGB45624_SGB63337|t__SGB63337	2|1239|186801|186802|216572|||
k__Bacteria|p__Bacteroidetes|c__CFGB7552|o__OFGB7552|f__FGB7552|g__GGB79613|s__GGB79613_SGB40143|t__SGB40143	k__Bacteria|p__Bacteroidetes|c__CFGB7552|o__OFGB7552|f__FGB7552|g__GGB76768|s__GGB76768_SGB40143|t__SGB40143	2|976||||||
